Samples,Class_diet,Class_wght,Order,Batch,235.9261_0.47,356.9275_0.55,434.8719_0.56,288.9364_0.56,304.9139_0.56,146.9612_0.56,130.9663_0.56,158.9786_0.56,174.9561_0.57,114.9888_0.57,226.9672_0.57,112.9856_0.61,306.9189_0.61,203.0205_0.69,78.9512_0.69,395.0961_0.69,286.7720_0.69,578.5618_0.70,794.4212_0.70,576.5647_0.70,620.5464_0.70,618.5492_0.70,556.5961_0.70,284.7747_0.70,566.7784_0.70,564.7813_0.70,94.9249_0.70,92.9278_0.70,460.6474_0.70,520.6032_0.70,518.6061_0.70,214.8363_0.70,516.6091_0.70,96.9221_0.70,564.5849_0.70,562.5877_0.70,560.5907_0.70,558.5934_0.70,498.6379_0.70,274.9885_0.70,272.9913_0.70,448.6675_0.70,458.6505_0.70,506.6266_0.70,272.7949_0.70,440.6793_0.70,330.7535_0.70,266.8037_0.70,270.7978_0.70,268.8008_0.70,208.8451_0.70,324.7622_0.70,502.6322_0.70,212.8393_0.70,500.6351_0.70,504.6292_0.70,328.7564_0.70,210.8422_0.70,382.7208_0.70,326.7593_0.70,446.6707_0.70,444.6737_0.70,388.7122_0.70,442.6765_0.70,386.7151_0.70,384.7180_0.70,145.0619_0.70,154.8807_0.70,252.8271_0.70,152.8836_0.70,150.8866_0.70,76.9541_0.71,215.0327_0.71,124.0074_0.71,146.0459_0.71,164.8361_0.72,162.8390_0.72,160.8420_0.72,199.8049_0.75,193.8154_0.75,195.8109_0.75,197.8079_0.75,201.8019_0.75,163.8467_0.76,161.8498_0.77,207.8367_0.77,205.8397_0.77,125.8732_0.78,127.8702_0.78,226.9963_0.79,173.0091_0.80,179.0561_0.80,144.9673_0.82,146.0823_0.83,87.0086_0.84,154.9281_0.84,243.0622_0.84,116.0718_0.84,101.0244_0.92,133.0142_0.93,145.0143_0.94,135.0312_0.96,146.9830_0.97,201.0381_0.97,185.0643_0.97,231.9675_0.97,89.0243_0.97,78.9589_0.97,96.9694_0.97,208.9830_0.99,128.0354_1.03,383.1224_1.15,163.0401_1.15,216.0433_1.16,300.0250_1.16,248.0540_1.16,180.0667_1.16,189.0405_1.17,292.1402_1.18,117.0194_1.27,130.0874_1.27,267.0735_1.30,134.8653_1.52,132.8677_1.52,103.0402_1.56,115.0402_1.98,147.0452_2.11,164.0718_2.11,232.0592_2.12,117.0558_2.71,116.0506_2.87,203.0827_2.88,271.0701_2.89,181.0508_2.92,129.0558_3.21,181.0063_3.26,198.0328_3.27,266.0201_3.28,374.2219_3.44,178.0511_3.54,134.0612_3.54,212.0024_3.54,330.0960_3.54,129.0559_3.54,281.1009_3.55,246.0386_3.55,197.0433_3.55,167.0384_3.62,230.0129_3.75,131.0715_3.81,74.0246_3.90,192.0668_3.90,283.0825_4.06,187.0072_4.11,253.0178_4.19,173.0820_4.20,226.0180_4.59,204.0667_4.61,181.0541_4.65,187.0978_4.90,144.0456_4.94,498.2896_5.87,229.0541_5.97,464.3019_6.26,465.3052_6.62,533.2926_6.62,601.2797_6.62,452.3018_6.66,448.3068_6.66,329.2334_7.09,453.2859_7.23,407.2803_7.57,448.3069_7.65,391.2854_7.75,437.2910_7.76,329.2334_7.86,361.9981_8.57,562.3148_8.61,538.3150_8.83,338.9821_8.93,476.2784_9.14,504.3096_9.19,632.3179_9.19,564.3307_9.19,588.3307_9.22,315.2541_9.26,614.3464_9.48,676.3053_9.60,480.3097_9.62,608.3179_9.62,540.3307_9.62,361.9981_9.66,634.3337_9.95,566.3463_9.95
QC-1_neg_1a,QC , QC,1,1,74870.096,23803.5413,187499.2179,70660.8028,414283.5155,196494.6614,23410.0133,32803.6471,487100.4842,15195.7051,35325.3415,361362.6602,86261.8439,20234.7589,16687.701,42275.7835,15615.9626,18054.8992,16860.77,21720.8759,21441.7028,22221.3275,13352.8857,20629.7553,22833.7884,21528.7605,694109.7172,1006737.441,13362.916,12828.0536,16437.4204,22874.933,12442.4406,118726.72,33820.5209,62811.2593,71125.8536,50589.3375,20624.6807,32480.3388,45546.0416,17055.1548,12013.4558,23942.8214,70472.7959,27862.6218,28392.2527,215786.9264,224162.4132,344918.166,163579.0559,42414.5804,77264.7883,101374.567,59223.2905,54249.7267,66449.2314,206684.7323,20833.852,81487.6296,46988.3089,68858.8485,28260.2453,66496.2349,59803.5459,59365.9232,73341.2704,64381.2119,15385.6997,202708.5844,208912.3201,23312.0675,961790.8227,23682.6089,33634.4869,43017.9172,135150.1182,149391.4948,265370.5112,27146.9292,456742.6764,568129.478,57797.5495,55285.0002,57489.7715,37724.1084,37495.1799,61358.2281,40192.7274,25958.6546,11566.8995,87747.1328,14603.5428,38024.4667,81749.1168,19721.8355,40944.7059,12955.613,21582.8729,15027.6866,24200.6058,96544.7888,31148.08,141887.252,29079.7414,74245.4566,2766452.479,118374.699,151634.6682,5417.6593,138172.2269,67923.0631,24608.5366,25538.7327,9393.204,21761.9131,780959.03,47751.5779,10552.138,50845.3039,275852.6574,159076.9729,13042.6147,15007.7607,41118.4317,85836.2571,36575.8597,344819.4544,21497.1334,70490.8224,23510.6837,623002.3609,35548.2877,50156.6874,401483.9417,52684.2061,606359.1593,28446.5845,14626.7789,714564.6366,106980.1156,197899.419,10676.0422,601124.5656,11965.8418,18348.1848,24546.2774,35394.662,36313.7849,32229.7259,52488.2458,137369.836,166543.9011,143609.2061,18267.3111,22154.8993,206004.8797,30734.2593,26419.0323,87721.5847,36297.3561,43397.8505,28773.2656,34091.8389,3286706.822,173516.9163,33930.241,39449.0654,170261.961,121629.0611,35743.5079,25030.2082,24136.2096,22933.6963,49048.234,69682.4161,18606.2223,18337.3726,35489.7517,21526.5399,40175.0763,20310.2103,35478.0463,478296.6921,126995.3211,112089.3282,14816.1167,11410.0207,26295.6297,37086.0856,538464.9078,38735.8465,22331.7056,261402.2251
QC-2_neg_1a,QC , QC,2,1,74966.987,24389.4942,192948.7541,81664.7778,425370.3904,193655.1026,26007.6044,39232.6041,494078.545,19987.4167,39485.304,371363.9527,85826.7229,22640.3396,15481.0399,42456.7109,14016.7005,17889.9395,19618.6866,21545.439,24885.1819,24184.7977,16168.9785,21760.5123,27281.5385,26557.0419,695664.3355,1007927.14,16000.9092,14285.2244,18125.0732,25042.585,12371.4207,121009.4727,34169.337,64641.2355,76978.0204,46199.9442,20793.5404,31956.812,46655.5846,18157.5309,14064.3295,28136.1267,75511.6865,25949.341,30788.7222,217110.466,220185.2405,343648.4919,168598.2151,43485.6908,76910.3525,101952.4073,60623.2278,57639.0889,67754.3448,212654.6793,29127.5727,84840.0764,46970.9046,73260.5679,30635.5668,67486.6923,63304.5872,62690.1786,73305.5779,69154.2562,14767.5307,200681.6537,206228.5806,22179.5014,979886.2613,26726.2314,29983.5544,44734.0318,134219.5417,148312.7595,268912.8051,28450.464,460992.3799,568999.7992,64410.1814,51128.2747,57360.8117,30197.8121,36042.5368,55940.4497,36857.0258,40589.0643,23258.6951,87920.6788,15578.7746,39042.0583,86888.9985,35707.6092,21385.9183,14170.9454,32259.841,19300.7205,17392.8107,93209.953,26237.6411,121056.9167,23927.2507,65587.6207,2751862.583,721470.4212,523364.4228,26340.7725,128307.1919,50700.7345,24543.0867,30790.0704,27802.0162,19280.5685,725186.2282,47386.5368,17918.9553,58143.3003,247965.3634,158384.2974,14841.3994,18446.4591,46674.85,83561.1257,33819.3483,341193.2498,23487.6278,73642.9442,25122.9917,624688.8616,34528.4328,48444.6784,406990.7702,38757.7265,549672.3016,27827.2448,13935.5609,732607.9618,109897.8807,202060.496,10644.3122,601372.9938,11590.1766,18041.5473,24029.8473,35006.7479,33026.0515,34022.5124,50365.8579,144773.7426,165488.1533,143997.6823,18935.4511,23020.0277,210000.2732,29735.2136,27402.2,89019.9911,31935.9374,50032.57,28184.1841,34203.329,3276270.351,165997.0911,29236.4313,37020.6853,170884.5249,119813.6884,43530.0679,24953.1919,25152.0692,24881.7787,60179.9344,69232.5027,20051.282,23956.6363,43606.7821,20361.3953,59474.5778,27171.169,44813.7108,646817.104,170559.488,118548.0493,23665.0132,15824.5419,38998.0777,54755.8184,721107.3144,29072.0865,28392.1281,359755.6604
QC-3_neg_1a,QC , QC,3,1,67968.4154,23354.6974,193757.3287,84237.5903,421680.422,195963.8187,24025.966,34739.4396,504663.0792,18136.3453,41100.1866,358206.8805,85906.3172,21415.0053,14623.3319,36546.5332,15526.8769,18556.4742,19630.8327,20935.7269,25661.5906,22206.4316,15481.9637,19621.5237,24300.751,24104.0497,704311.5581,1025082.39,15705.8217,14381.2867,16154.1517,22880.2544,12829.765,122541.9938,36541.8139,60989.8884,73306.5422,49191.066,21319.5555,30473.7734,47378.8675,18474.196,13618.3593,27309.361,73733.7829,26592.0954,29747.841,224115.9167,231378.6729,353822.5588,166423.9823,46273.6014,79315.2204,104653.7351,63531.2379,58977.4344,64501.5958,216426.9044,25466.0884,85173.7076,49407.2262,75157.4815,31595.3598,68997.6396,58874.0926,64950.8409,76171.1826,64903.7834,13938.9009,206302.779,204147.016,21645.7117,963663.6273,26358.0896,27413.9246,38643.4055,126948.1236,137181.3997,254690.671,26098.0491,412612.1787,525048.0328,56310.5016,51572.4094,53555.7327,34475.5706,29507.206,54271.0815,34966.8192,30623.5029,19003.6285,93111.2567,18344.1975,38208.4503,83356.4063,36107.4985,24474.0454,12994.2791,33644.3133,26073.712,24538.5537,91903.1316,20333.7469,115606.8684,22895.956,58722.5776,2766820.022,975560.8176,757468.7497,33590.1207,133896.3446,46126.6081,23228.3392,32034.4019,27207.7517,19148.7262,748738.2045,51716.6818,10454.128,57738.232,242672.0211,161184.3322,21904.2357,20016.2017,50780.4509,85858.1392,34830.7329,334555.4254,20932.0133,77704.2268,25474.6811,645044.0795,33157.0697,49604.8416,407309.1392,49188.8464,563199.6834,26911.7809,18281.9144,747697.9784,111514.7779,206388.8686,10583.2913,608769.3699,11452.2277,16575.8263,23253.5303,35822.8623,35866.3818,35859.3957,53358.4865,153219.7286,173723.6277,145878.2578,21795.1933,23246.1807,221230.2805,31407.5461,26740.5399,84166.6408,31290.5235,44888.5296,32035.2872,36544.2063,3352294.888,171596.2348,30385.6234,37319.5925,165448.6068,113131.5628,35676.2876,21870.1849,23618.7145,19255.6629,45479.1925,72569.545,19791.9847,18041.9904,31704.8434,21292.3007,31236.7843,16521.6319,31366.5982,406515.7328,99130.4277,117362.2331,8899.9888,7822.7541,20127.517,34213.2719,360048.9069,34139.54,15980.8329,188766.5316
QC-4_neg_1a,QC , QC,4,1,63127.9608,23297.1906,192748.3201,82690.6836,425045.5378,204520.4569,25594.0595,38549.641,497856.7544,19929.4776,40872.4724,361284.329,89145.1811,21627.1721,16837.2046,43099.014,13608.1861,18254.3301,19363.2699,20887.5344,22142.6337,24392.1559,15902.0512,21201.9582,23523.6145,23657.2032,705136.1263,1018643.523,15060.1833,12063.0884,19701.8144,22533.044,13258.0684,121023.8376,33465.1077,65830.8326,73195.9896,52790.0958,20715.7221,28102.9237,48143.9019,17880.0075,12784.7093,28082.7104,75045.9162,21527.3613,30002.1379,224655.5832,226613.9189,352901.8164,164996.6363,47553.0936,79461.1915,107291.003,56026.2013,56328.4708,67447.7927,215285.4378,23981.1364,87314.6783,45615.0367,74164.871,32100.1848,66056.4665,64733.2271,65869.7091,76214.0748,68757.595,16852.4464,208376.5874,214292.8161,24580.7629,993013.0767,29716.5371,34275.8892,43076.5879,122811.2212,136621.4672,248544.9148,25992.2921,417879.3887,509211.6489,54977.9505,48036.5511,54078.475,28075.208,33142.8942,51376.3884,33237.0074,65730.3552,29923.2337,92757.6225,18476.399,39742.3591,91561.9214,34359.1038,22414.1233,14450.5081,35249.8697,29879.0385,28514.9871,98609.0256,23804.1714,117327.7953,20733.1552,54653.531,2798772.059,711933.6736,822785.9189,35348.3884,130675.5494,45805.399,21409.2082,30150.0657,30360.1493,21523.6812,751964.0739,51209.4272,20149.1429,59813.8575,243645.9973,164649.2706,13494.5642,13785.7762,42313.8788,86582.4938,36560.9299,342298.9458,16945.3059,67121.0602,24079.3786,642339.4064,35611.4877,47638.7001,405305.1644,41803.0384,562857.7955,24895.4704,13696.3652,793116.1062,114744.6173,215668.5707,11575.024,623783.5029,13030.696,14130.5909,24337.6945,36675.616,40296.7756,37275.3409,54629.2359,150666.6856,175023.3307,142970.1147,22715.1236,23436.0609,213902.1847,32717.2172,26599.6726,78398.7672,29664.2376,46311.1133,30153.8277,36367.6258,3322193.379,167747.8336,28567.8783,40585.991,169129.094,83192.8847,39058.6772,26297.0468,25443.0788,22436.8373,49109.2452,77141.6104,19522.2026,22588.2306,40975.3053,21372.0845,45292.7901,22382.517,44151.8741,579610.2696,142790.2161,142425.4035,20449.9748,13072.1436,29017.2684,47615.1982,541988.7717,37760.792,26029.1665,322211.3523
Plasma_neg_21,restricted , high,5,1,70019.034,24757.0302,203398.5137,101370.5882,447553.2283,211777.0084,27976.5212,43812.9477,521796.5425,24214.7601,41965.4527,373053.0296,24758.7241,24801.0116,18871.556,41174.8259,15414.5424,20926.5122,21067.4561,20264.8086,24532.9961,24542.7257,16784.8944,20168.305,27240.4712,26784.5294,718747.6573,1036053.797,13922.2776,14030.1467,18801.6525,19719.4896,12907.0048,124189.9982,35332.0629,66876.1803,79220.0222,50823.0642,20020.2408,34031.0234,47739.9434,16499.7226,14170.4319,27250.8961,76541.5818,25298.7651,29218.8008,228638.8822,235974.8894,364512.1322,168906.1312,47563.7,81595.848,111945.9885,60984.3747,59379.675,66876.3233,223771.118,28039.2228,90070.786,47732.3365,79694.9413,30627.648,73465.3959,63837.6193,63565.7141,85215.7954,70620.9475,20047.3113,211096.4583,222335.8818,25302.0157,997434.8051,26066.7516,34054.758,41139.2215,129553.3466,143676.1695,270367.179,27626.213,464499.0959,568453.6876,65769.4455,53436.2598,54988.8227,36401.315,30139.7154,57448.2073,37804.5318,44969.2718,24742.8562,86010.915,12754.0689,55627.1105,72614.2113,45944.5368,61513.6658,14010.416,25220.7852,16368.0709,29025.6288,89858.5807,29928.7844,127926.8827,22764.0107,39916.0408,2143423.072,854567.5557,787868.7976,37094.374,152421.656,47825.3677,20063.1059,29807.9972,28962.3907,20518.9489,679703.55,48605.2869,31549.4952,49235.3786,254469.2335,194028.205,18927.2052,17728.3842,39810.1944,75338.938,39682.7711,362175.2658,21627.0338,94227.136,23130.7135,608498.3358,32403.5128,34747.8918,359120.0743,45973.8125,566486.8617,26414.0366,18769.3056,190247.8308,26957.4091,300108.6135,13886.1792,577944.5595,13873.0624,6068.9428,26282.3654,27723.7011,114736.9733,37864.6525,81685.616,223869.6262,317584.9824,280236.8176,8130.8822,28130.4272,435273.5584,24938.9272,14970.2939,104187.1803,27871.0275,29124.7248,,27631.6675,3506138.562,170557.9415,34783.611,43142.5408,121298.0117,131813.4276,36100.1932,28663.5662,21634.8502,15180.7726,40689.2145,83133.7765,21675.4563,22297.7975,32709.7422,26106.4554,33399.3741,18893.132,28698.8134,436692.8072,88020.0119,146958.8853,13242.5617,9031.7501,25462.9716,38377.6157,420987.7731,32135.2157,17669.1001,233161.0845
Plasma_neg_22,adequate , high,6,1,70194.869,24623.9295,198323.2372,103911.7381,448293.7772,211012.9698,25195.8623,45624.2942,514581.2734,22359.1485,42072.9752,375177.7562,86879.7073,22804.9064,15981.0613,40514.1407,13021.1087,16875.2195,21271.3752,19074.8348,25573.0104,27923.2906,16867.7926,14001.1368,28492.9358,28812.2173,725436.5511,1054785.993,15192.9459,13053.4677,17677.629,26153.7056,12683.5283,125735.0206,38246.7133,69160.0724,84047.585,54310.4504,21141.8642,35615.1843,55529.4261,19589.4918,11223.1253,29591.6341,76911.0416,26019.5798,31246.5933,235845.9329,231681.3291,372720.48,174557.1157,45075.6125,82209.6633,105877.6181,65149.968,64488.4385,70599.0528,227557.9679,25512.5107,89744.4979,50564.8813,77785.262,28152.5835,70271.3053,68860.3905,67014.7183,70058.146,74481.3298,14171.7443,223842.6591,222899.4025,18773.2918,1100014.009,24370.9004,16889.9937,35109.2796,129690.9065,138906.8678,277934.6118,27773.4564,466218.0946,570170.8032,65845.12,46450.1486,49468.4299,35723.2555,28078.642,53651.8471,31393.6147,42724.3338,25550.6397,91751.9801,18573.1748,47386.2548,37731.8404,44225.7031,22304.9333,16844.1679,36668.8392,25471.1203,38438.3443,53601.8474,19879.5391,64384.1754,9550.069,18907.8913,1059792.713,1091719.41,1235018.557,32600.0491,147380.9721,45738.7089,22833.0471,33692.9258,36951.5552,19761.1654,793872.2885,55802.5014,13386.0329,43395.3745,288490.6943,58474.8807,21820.8133,25483.4986,49951.9905,72599.9797,40262.1109,367283.2286,22495.3312,72709.1051,30225.3836,794078.6082,41435.1266,61811.4213,366680.3086,44183.8741,544404.9877,30033.5259,17124.1058,104337.6062,14357.4333,253217.1109,9141.7472,662204.2053,18631.6902,3104.0365,28454.9881,24802.6301,33590.1489,31740.3881,43999.8783,123926.3184,164940.4703,120220.3115,34024.6773,21159.6041,188613.0541,57206.8549,10562.494,71736.9514,57657.6643,84836.6792,,44462.7533,3442699.027,164961.7974,31436.0503,36901.2888,399793.0898,133373.0363,10133.7157,31195.9227,36942.1494,23535.0621,52144.2061,81794.7009,20815.5689,34155.1945,52195.5777,21704.843,57896.0806,28379.8843,49876.2426,706230.2871,141336.4958,165617.8815,18906.9427,7190.3416,21816.1371,33870.1348,369986.4734,37472.0891,23500.28,283376.5316
Plasma_neg_23,adequate , high,7,1,69023.6808,25026.9159,189771.1696,99825.3093,423741.0636,203510.1836,27538.5609,46944.4428,515655.9719,25105.5786,42794.5873,377325.1561,89491.4193,17201.0161,21291.9464,39000.4584,13601.281,18056.9895,20721.359,18999.6385,23192.7158,22919.9657,17443.074,18030.5199,30493.3051,27318.1649,711609.5505,1021743.763,14192.4123,12337.6009,16429.1336,25305.8196,11791.6255,125676.1197,35194.7113,64356.9967,78272.0936,49223.2443,15948.6451,37274.0038,50754.1994,16357.5907,11859.7729,27155.3904,72412.8426,26353.2136,33178.2159,223954.1542,227448.5134,351847.5064,169773.8301,46233.3069,79792.2907,108904.6731,61076.0411,58606.9868,67444.4579,216034.544,27674.5163,84118.5789,47272.5608,74345.0705,34295.3601,70273.1572,65440.3059,66715.4696,94178.9147,68721.6583,16065.751,213979.8184,218987.2294,26899.5731,1061869.084,21966.4169,19025.8484,29570.1062,118179.8867,129482.533,247948.3162,26279.0707,422458.1503,521497.2767,56278.3069,48810.0441,54133.8687,30077.5642,29602.3559,52602.9151,32775.4011,74311.1837,36403.7541,57896.1248,19740.1653,49795.5658,60030.9333,48319.1398,34007.0329,17138.5331,33302.4265,23094.4091,31481.6995,73357.816,16282.2776,88663.6433,15166.178,26043.7116,1583799.707,715018.4628,1297248.499,44589.2036,150618.6667,60784.5349,31460.8709,42188.4338,40714.816,23235.8279,1052383.814,58393.6634,24764.1057,41343.6933,283727.0147,205997.7863,13963.3112,16123.3192,36103.8865,94222.9173,52204.5508,498236.1127,21523.7601,92693.0105,32069.953,825945.2609,40410.3311,65126.1821,479806.4038,45708.5045,549081.5491,23867.0716,14989.7481,97972.3446,14099.794,83607.6763,8973.6311,833434.4273,26367.0249,2988.5394,37116.8911,24056.604,36685.3428,36383.6633,37480.4953,97875.9137,131898.4146,74189.6581,20641.664,21501.7561,124881.9025,39158.6533,13926.3598,80127.6893,33533.9612,44511.7903,,16240.6697,3377825.704,168403.9752,28321.8512,37606.2945,169872.6886,129532.8687,21078.5499,26839.2062,12402.0923,28880.6093,72926.3553,81250.3308,21353.2646,19768.6331,40136.7098,22031.0636,40308.6291,24601.1829,44871.6245,581345.5583,138846.7634,165311.516,18378.3985,9362.4077,23946.811,39600.4443,472489.1601,33198.108,22135.7244,250891.3069
Plasma_neg_24,restricted , high,8,1,73231.2483,23163.1931,186794.021,99994.5519,427388.3653,204950.0608,26570.3098,42861.0097,507804.211,20238.4746,43732.7539,387276.6256,88611.8822,23950.1846,15561.4264,35616.41,17221.3756,17191.4277,21613.3702,21419.4253,26030.6146,25519.0285,17300.1877,19773.4047,23371.0134,25725.5553,735311.374,1067024.708,15891.8913,13223.149,19087.2781,18035.7407,13025.0085,123837.0867,36692.7197,65896.5796,81555.8973,51175.7734,20444.0147,31552.9051,43931.2785,16991.7454,13342.082,33173.0501,82363.612,28028.2852,31852.7226,240590.8326,242342.4905,382396.0192,178834.1516,47870.5765,88202.1705,112337.7041,66439.578,66696.7076,71017.9303,227308.2544,26611.5721,89249.3862,49516.6732,77905.9135,32140.1763,69663.7,64912.6764,67263.8585,75514.2293,70194.7531,15394.5916,216271.195,218147.9815,22484.4612,975166.2671,19586.3583,22638.6698,36946.4778,117081.2707,126101.0244,232125.1838,22401.3225,388111.5542,486238.5659,52189.0566,48584.0822,52892.8064,35111.5224,36287.2038,52308.2239,36272.2138,89869.7827,42671.9619,86974.7837,14449.6262,45336.1796,60044.2678,33159.4406,22484.5693,16513.3416,28792.5327,16515.4393,24927.9004,101766.5618,18656.2889,115969.9111,20636.4179,34207.9721,2085700.519,708693.4838,905865.9415,45796.0568,133293.8291,52437.8072,23906.3718,35613.1045,33490.0492,25245.9946,799397.9171,71010.9447,12007.9315,48109.0764,262455.4604,262458.2315,10787.5511,10432.304,37397.7836,94038.5772,34352.697,311090.0779,18843.213,109584.0725,28439.7327,748458.7969,34544.1701,54071.1696,373585.6333,46986.4343,588485.1122,29597.8181,19841.7487,141843.5756,17370.3133,198322.2762,11868.7746,1168933.455,22399.0403,4497.4232,27809.9611,78699.1372,39285.6585,46567.019,43766.9965,130887.601,178682.5114,114976.4102,967.4125,27177.2992,327391.2043,38450.497,84804.5238,94725.5235,38686.1523,24011.7011,,50939.3629,3365443.118,166972.2292,28709.68,36646.9449,232260.25,130575.5607,4747.1359,25176.3786,20140.9853,15316.1142,36684.311,76268.9902,21780.931,32461.7558,61156.104,23696.9735,94170.8527,34915.5122,59698.63,823034.1756,125113.9585,150067.8559,16779.8731,19766.6133,51167.2993,76539.6904,955331.4146,35230.7616,42658.3013,537566.8622
QC-1_neg_2a,QC , QC,9,1,72650.2242,24444.1288,199804.0392,97065.9782,445537.1923,207976.2119,28458.6009,39883.051,518391.8227,21507.6807,39757.4159,379982.8308,87629.9066,24433.627,16730.8847,39419.2715,17744.5844,19648.0011,20234.8606,21943.2603,20913.7748,24567.6676,18096.5717,24256.2615,26496.9255,25463.0091,741901.4953,1062749.543,15187.7864,13321.3674,17748.3501,24051.1857,14189.903,125231.2489,37469.1383,65296.4215,76303.3197,54907.6483,18445.1717,33342.9379,43615.7421,20067.9146,15795.9976,30074.443,80202.0541,27514.0664,28350.0044,238730.7904,247950.6309,386476.5366,175365.1113,47996.38,81563.1175,110608.8185,64093.5616,63911.6002,73551.8233,227558.7902,26625.5012,91950.5793,48496.2271,78060.7928,31196.0094,65310.8196,61493.118,66052.9345,73764.0498,75853.6363,18458.768,223381.0981,229303.9629,25707.646,995786.2137,32879.1783,32697.9413,33847.1141,134808.8976,145145.0726,265181.2116,26606.2622,442554.6768,535036.9514,58308.032,52494.5961,53822.5591,29996.1371,37211.2705,60568.7963,35916.8689,26858.4715,16424.8365,74562.25,18960.0714,39626.2731,102493.787,44083.4377,35120.6722,13177.4627,44104.8728,29458.8496,27176.7606,112014.2191,31221.579,142439.5358,23352.9919,65058.1906,3020364.312,458838.5046,691383.0483,37149.8156,185591.5186,56322.0491,23225.2625,34400.548,28305.2526,18349.8073,789008.6749,62890.0402,12174.3756,69347.0077,250469.3257,173887.8746,23033.409,19120.8837,56578.5919,90405.6365,37655.959,355775.5001,21157.2112,77894.7878,26890.2815,665102.0396,38737.5648,49239.4334,431412.4857,54528.7651,644642.2978,31977.1017,18039.8417,956405.8417,129034.0499,215615.9575,14551.9598,645014.9409,16947.7677,17487.8981,28071.2337,40461.8008,40862.3742,40794.9229,57945.2642,162200.5855,178443.7513,150994.344,28048.212,23606.4428,230230.8357,33646.2056,29667.2605,85244.4651,33752.8161,44706.9922,42146.2295,44399.0422,3476241.206,172665.8432,29253.9381,42202.1072,174256.626,130393.9843,49252.9087,26025.9328,35851.354,27429.7537,64506.169,79558.0374,13656.8219,22458.2427,38523.7984,22122.0602,47998.1342,21584.9144,32926.0339,529040.3476,128184.0643,144374.4162,17413.4992,10575.2797,29647.4891,42324.1363,531328.4349,34701.066,25103.1963,273941.4883
QC-2_neg_2a,QC , QC,10,1,69280.9517,26084.1981,201853.7715,101931.7477,436454.7014,199026.0996,28915.6018,45840.5074,521294.7511,23761.5949,38274.3118,391691.3777,90143.9213,16098.0826,16200.8679,37998.8944,15444.2133,19858.6481,19819.5921,17034.1128,22724.9387,24396.4239,14855.8149,21013.0331,23851.4084,25058.2974,724153.9986,1066341.141,16011.1902,13820.8644,16283.353,23761.751,13899.5564,122103.2022,34720.4085,61509.2131,75026.3156,49621.6414,20664.3638,31918.9052,46177.8013,17977.6815,14392.3543,25023.0315,80762.7303,25890.5093,31750.5539,226972.434,236304.7058,374952.0702,172494.5678,42740.642,75487.5492,109187.9073,60055.6346,59729.3835,72806.3314,221966.2007,22161.5618,88763.8894,47303.8455,74934.9735,32127.0232,66053.2758,64638.6948,65877.8657,77493.4616,70052.3397,18819.0288,213727.5954,220209.4967,25701.7316,988783.1075,25793.2547,38805.1472,38593.7585,124759.7773,141914.814,266196.9335,25187.7355,452705.5337,555078.9399,57621.7242,53709.8651,54718.1272,35339.8826,31717.1399,54280.1733,31243.637,46010.3743,21156.7317,112769.1241,23194.4297,38932.5941,91943.4964,30545.8826,32947.3332,13912.7592,45670.1586,38207.3124,38289.0677,104237.2318,21770.2043,127971.289,25634.1886,57267.5227,2890278.919,824602.1274,1248861.903,54014.7348,163947.7369,48074.3924,22128.5786,30799.2458,27809.7782,20323.6977,755977.8663,64701.0055,22840.2915,64600.2067,249094.8187,174532.5283,21238.8049,18914.0158,61478.1476,84869.1459,34524.0628,341903.4593,16852.4937,75240.8124,25202.4568,674879.1028,35963.2462,53641.4006,428948.6826,45357.0759,586968.1328,30124.1328,19245.7408,955360.7128,132358.9173,219922.3947,14697.7267,632888.8983,14487.5949,16807.9581,26312.4192,39836.3875,35736.2438,36929.5023,52434.9508,153452.5228,175863.7482,154232.2453,28612.0177,20941.1068,225009.2793,30954.9948,24435.1758,82677.307,34684.7301,49063.2961,41374.6271,45426.0643,3544253.774,184387.9707,34111.843,38610.9972,175460.2388,125248.9,54870.9985,25959.9732,34052.9846,26127.6473,65135.9236,70935.0529,22496.2317,21808.5187,38026.4117,19288.1357,49079.403,23503.3753,39365.7079,566666.6766,143903.2697,150079.7424,20774.8443,11269.7709,27120.8056,46346.4616,548677.5526,32835.8872,20655.8608,276512.862
