Name,Batch,Group,Order,1_ISTD Ceramide (d18:1/17:0) [M+HCOO]- ,1_ISTD CUDA [M-H]- ,1_ISTD FA (16:0)-d3 [M-H]- ,1_ISTD LPC (17:0) [M+HCOO]- ,1_ISTD LPE (17:1) [M-H]-,1_ISTD PC (12:0/13:0) [M+HCOO]-,1_ISTD PE (17:0/17:0) [M-H]-,1_ISTD PG (17:0/17:0) [M-H]-,1_ISTD SM (d18:1/17:0) [M+HCOO]-,Cer (d32:1) [M+HCOO]-,Cer (d34:0) [M+HCOO]-,Cer (d34:1) [M+HCOO]- ,Cer (d34:2) [M+HCOO]-,Cer (d36:1) [M+HCOO]-,Cer (d38:1) [M+HCOO]-,Cer (d39:1) [M+HCOO]-,Cer (d40:1) [M+HCOO]-,Cer (d40:2) [M+HCOO]-,Cer (d41:1) [M+HCOO]-,Cer (d42:1) [M+HCOO]-,Cer (d42:2) A [M+HCOO]- ,Cer (d42:2) B [M+HCOO]-,Cer (d43:1) [M+HCOO]-,Cer (d44:1) [M+HCOO]-,FA (16:0) [M-H]-,FA (16:1) [M-H]-,FA (18:0) [M-H]-,FA (18:1) [M-H]-,FA (18:2) [M-H]-,FA (20:4) [M-H]-,FA (22:4) [M-H]-,GlcCer (d34:1) [M+HCOO]-,GlcCer (d38:1) [M+HCOO]-,GlcCer (d40:1) [M+HCOO]- ,GlcCer (d41:1) [M+HCOO]-,GlcCer (d42:1) [M+HCOO]- ,GlcCer (d42:2) [M+HCOO]-,LPC (14:0) [M+HCOO]-,LPC (16:0) [M+HCOO]-,LPC (16:1) [M+HCOO]-,LPC (18:0) [M+HCOO]-,LPC (18:1) [M+HCOO]- ,LPC (18:2) [M+HCOO]-,LPC (20:1) [M+HCOO]-,LPC (20:2) [M+HCOO]-,LPC (20:3) [M+HCOO]-,LPC (22:5) [M+HCOO]-,LPE (16:0) [M-H]-,LPE (18:2) [M-H]- ,LPE (20:4) [M-H]-,LPE (22:6) [M-H]- ,PC (30:0) [M+HCOO]-,PC (32:0) [M+HCOO]-,PC (32:1) [M+HCOO]-,PC (32:2) [M+HCOO]- ,PC (33:1) [M+HCOO]- ,PC (33:2) [M+HCOO]-,PC (34:0) [M+HCOO]-,PC (34:1) [M+HCOO]- ,PC (34:2) [M+HCOO]- ,PC (34:4) [M+HCOO]-,PC (35:2) [M+HCOO]- ,PC (36:1) [M+HCOO]- ,PC (36:2) [M+HCOO]- ,PC (36:3) [M+HCOO]-,PC (36:4) A [M+HCOO]- ,PC (36:4) B [M+HCOO]- ,PC (36:5) [M+HCOO]- ,PC (37:4) [M+HCOO]-,PC (38:2) [M+HCOO]-,PC (38:3) [M+HCOO]- ,PC (38:4) [M+HCOO]- ,PC (38:5) [M+HCOO]- ,PC (38:6) [M+HCOO]- ,PC (40:4) [M+HCOO]- ,PC (40:5) [M+HCOO]- ,PC (40:6) [M+HCOO]- ,PC (40:8) [M+HCOO]-,PC (42:4) [M+HCOO]-,PE (34:1) [M-H]-,PE (34:2) [M-H]-,PE (36:1) [M-H]-,PE (36:2) A [M-H]-,PE (36:2) B [M-H]-,PE (36:3) [M-H]-,PE (36:4) [M-H]-,PE (38:2) [M-H]-,PE (38:4) A [M-H]-,PE (38:4) B [M-H]-,PE (38:6) [M-H]-,PE (40:6) [M-H]-,PE (44:3) [M-H]-,PI (32:1) [M-H]-,PI (34:1) [M-H]- ,PI (34:2) [M-H]- ,PI (36:1) [M-H]- ,PI (36:2) [M-H]- ,PI (36:3) [M-H]- ,PI (36:4) [M-H]-,PI (38:3) [M-H]-,PI (38:4) [M-H]- ,PI (38:5) [M-H]-,PI (40:6) [M-H]-,plasmenyl-PC (32:0) [M+HCOO]-,plasmenyl-PC (34:0) [M+HCOO]- ,plasmenyl-PC (34:1) [M+HCOO]- ,plasmenyl-PC (34:2) [M+HCOO]- ,plasmenyl-PC (36:0) [M+HCOO]-,plasmenyl-PC (36:1) [M+HCOO]-,plasmenyl-PC (36:2) [M+HCOO]-,plasmenyl-PC (36:3) [M+HCOO]-,plasmenyl-PC (36:4) [M+HCOO]- ,plasmenyl-PC (38:0) [M+HCOO]-,plasmenyl-PC (38:4) [M+HCOO]- ,plasmenyl-PC (38:5) [M+HCOO]-,plasmenyl-PC (40:1) [M+HCOO]-,plasmenyl-PC (40:4) [M+HCOO]-,plasmenyl-PC (42:4) [M+HCOO]-,plasmenyl-PE (34:1) [M-H]-,plasmenyl-PE (34:2) [M-H]- ,plasmenyl-PE (36:1) [M-H]-,plasmenyl-PE (36:2) [M-H]- ,plasmenyl-PE (36:4) [M-H]- ,plasmenyl-PE (36:5) [M-H]- ,plasmenyl-PE (38:2) [M-H]-,plasmenyl-PE (38:3) [M-H]-,plasmenyl-PE (38:4) [M-H]- ,plasmenyl-PE (38:5) [M-H]- ,plasmenyl-PE (38:6) [M-H]- ,plasmenyl-PE (40:4) [M-H]-,plasmenyl-PE (40:5) [M-H]-,plasmenyl-PE (40:6) [M-H]- ,plasmenyl-PE (40:7) [M-H]-,CSH_negESI #513,CSH_negESI #514,CSH_negESI #515,SM (d32:0) [M+HCOO]-,SM (d32:1) [M+HCOO]-,SM (d32:2) [M+HCOO]-,SM (d33:1) [M+HCOO]-,SM (d34:0) [M+HCOO]-,SM (d34:1) [M+HCOO]-,SM (d34:2) [M+HCOO]-,SM (d36:0) [M+HCOO]-,SM (d36:1) [M+HCOO]- ,SM (d36:2) [M+HCOO]- ,SM (d38:1) [M+HCOO]-,SM (d38:2) [M+HCOO]- ,SM (d40:0) [M+HCOO]-,SM (d40:1) [M+HCOO]-,SM (d40:2) [M-HCOO]- ,SM (d40:3) [M+HCOO]-,SM (d41:1) [M+HCOO]-,SM (d41:2) [M+HCOO]-,SM (d42:1) [M+HCOO]-,SM (d42:2) A [M+HCOO]-,SM (d42:2) B [M+HCOO]-,SM (d42:3) [M+HCOO]-,SM (d43:2) [M+HCOO]-,CSH_negESI #014,CSH_negESI #017,CSH_negESI #021,CSH_negESI #024,CSH_negESI #046,CSH_negESI #056,CSH_negESI #071,CSH_negESI #074,CSH_negESI #078,CSH_negESI #079,CSH_negESI #091,CSH_negESI #108,CSH_negESI #109,CSH_negESI #113,CSH_negESI #120,CSH_negESI #120 ,CSH_negESI #123,CSH_negESI #124,CSH_negESI #130,CSH_negESI #131,CSH_negESI #132,CSH_negESI #133,CSH_negESI #134,CSH_negESI #135,CSH_negESI #136,CSH_negESI #137,CSH_negESI #138,CSH_negESI #139,CSH_negESI #140,CSH_negESI #144,CSH_negESI #146,CSH_negESI #191,CSH_negESI #192,CSH_negESI #199,CSH_negESI #200,CSH_negESI #202,CSH_negESI #203,CSH_negESI #206,CSH_negESI #206,CSH_negESI #220,CSH_negESI #221,CSH_negESI #223,CSH_negESI #223,CSH_negESI #238,CSH_negESI #251,CSH_negESI #251,CSH_negESI #252,CSH_negESI #253,CSH_negESI #257,CSH_negESI #259,CSH_negESI #261,CSH_negESI #264,CSH_negESI #264,CSH_negESI #275,CSH_negESI #275,CSH_negESI #278,CSH_negESI #290,CSH_negESI #293,CSH_negESI #293,CSH_negESI #298,CSH_negESI #298,CSH_negESI #308,CSH_negESI #309,CSH_negESI #310,CSH_negESI #340,CSH_negESI #344,CSH_negESI #345,CSH_negESI #347,CSH_negESI #365,CSH_negESI #366,CSH_negESI #374,CSH_negESI #375,CSH_negESI #376,CSH_negESI #377,CSH_negESI #378,CSH_negESI #379,CSH_negESI #380,CSH_negESI #381,CSH_negESI #382,CSH_negESI #384,CSH_negESI #385,CSH_negESI #386,CSH_negESI #386,CSH_negESI #387,CSH_negESI #388,CSH_negESI #389,CSH_negESI #390,CSH_negESI #391,CSH_negESI #392,CSH_negESI #393,CSH_negESI #394,CSH_negESI #395,CSH_negESI #396,CSH_negESI #397,CSH_negESI #400,CSH_negESI #401,CSH_negESI #500,CSH_negESI #501,CSH_negESI #502,CSH_negESI #503,CSH_negESI #504,CSH_negESI #505,CSH_negESI #506,CSH_negESI #507,CSH_negESI #508,CSH_negESI #509,CSH_negESI #510,CSH_negESI #511,CSH_negESI #512
QC000,1,QC,1,167879,75578,71916,43222,33727,2602,59101,381682,17674,301,432,2740,363,843,875,665,4349,679,4187,18214,2569,3632,844,844,12778,120,13762,4687,1831,1297,1367,3136,584,3013,1547,3841,2642,746,122099,1266,48606,16152,24040,405,532,1683,439,1453,1869,1475,709,1739,10178,5708,2044,1620,2006,2325,131535,427814,927,5078,20246,217186,58484,19011,154566,7183,3990,2264,21013,81272,18348,37410,2446,4070,13918,813,473,810,2111,3756,12000,4315,1252,2030,5552,4555,5858,2199,1320,534,439,1747,3287,2612,9684,1471,2939,3148,29371,970,1432,1620,2517,3958,7106,1787,1288,1469,9063,10210,1996,6861,1192,573,848,763,653,2098,703,3037,8596,450,502,439,12032,5066,2901,731,963,2543,1512,13282,14920,8243,275,7374,809,4437,4486,118653,15093,882,18009,6003,10248,4634,258,23052,13785,314,8808,4757,14857,29687,30122,19946,876,15678,13776,5788,18594,9118,4030,877,1258,30148,12553,2965,2765,1397,4836,2324,1547,961,38091,3123,478,11052,13248,127511,3175,45264,614,775,3431,4103,21102,12693,8558,831,939,1614,695,850,3452,2635,3444,953,1246,886,7893,1886,1417,2629,1275,2912,904,878,1178,1115,451,346,757,4903,1550,2005,851,522,123783,15191,10084,752,575,662,875,998,541,1350,7396,4554,1150,1267,815,1064,1134,979,1344,702,6492,1585,1337,4857,551,1323,1072,498,1200,705,4046,1962,778,494,3280,1696,33450,3415,4770,589,7549,16914,12393,1261,2435,2084,4505,6048
GB001617,1,Sample,3,158256,76082,66125,36637,29950,2244,62752,341337,17257,339,331,3056,423,1177,943,629,3769,339,3639,9578,2329,3826,1182,509,7368,177,5152,12039,2512,433,1256,2177,659,3090,1514,3180,2074,470,38764,786,12553,9080,10407,248,176,884,152,680,1486,1359,932,2176,11566,6977,1916,2600,2398,2420,156956,318240,1041,5909,22332,148138,71727,8652,172819,7867,5433,1939,20528,90875,21300,45621,1929,3665,15398,602,517,904,1802,4321,9236,3057,1038,2778,3924,4732,6515,3418,1277,576,294,1812,1909,2255,6370,628,3205,4040,40343,2724,1700,1191,2588,2087,3890,1495,1421,655,7236,6875,1503,6683,1066,498,890,933,540,994,704,2443,4701,251,489,399,9235,3694,2528,752,988,3020,1488,14991,16163,9220,384,9103,818,6503,5411,134566,15949,1278,22165,7379,11853,5494,532,23124,15128,488,9160,5249,12244,27321,29331,16688,1593,18152,10938,5110,16898,10139,4784,536,1354,28662,11017,3970,2117,1290,2804,2802,1972,704,33637,3064,267,6268,10374,97889,2871,18928,260,589,2006,910,20491,12100,6325,520,958,1714,749,909,3808,3027,2582,772,1552,715,6709,2225,1676,2334,1249,3368,1154,612,1430,1435,552,339,587,2989,1217,1465,463,368,116055,14489,9821,663,684,849,554,935,549,1183,3931,3712,825,1362,806,572,379,874,1126,745,7743,79,1677,4128,464,807,1008,480,911,508,2545,2053,534,447,2095,3132,30842,4092,5624,381,7187,15545,10871,1329,2819,1810,4775,5060
GB001333,1,Sample,4,164492,74334,68269,42339,32090,2396,72544,313383,17447,530,427,4423,641,1521,959,699,4202,458,4510,12592,3445,5687,1374,644,9444,87,4512,17620,6187,698,1155,3064,509,2470,1439,2745,2460,835,110196,1995,31456,17039,14557,472,520,2454,697,1789,2400,5301,8321,1722,14276,9545,1894,3001,2500,3038,251625,424765,901,5703,32463,187894,114178,6118,255092,24466,4399,3417,41255,124053,38357,178465,2584,9120,61409,982,306,874,1979,7181,13177,3094,767,3551,5138,6809,8862,8586,4444,612,639,2102,3759,2264,9441,1552,4680,4039,36722,2373,3570,1414,2684,1822,4490,1361,1041,531,9423,8423,1370,8822,3028,363,767,1042,361,558,614,1375,4041,497,204,413,6358,2582,3905,585,625,3986,2261,22723,23245,12784,527,13576,1522,7855,5030,164009,25436,1526,27888,11108,12963,7532,652,24627,19595,1232,10990,7442,13416,42603,42622,30414,1779,17608,11403,5100,16073,13428,7687,562,1274,26617,11618,5246,2942,1464,3658,3497,1863,887,33067,5296,151,9937,13067,103108,2869,25019,512,977,2393,2540,20829,12432,6396,294,600,1953,1671,1027,4407,3460,3078,790,2120,787,7912,3585,2322,3597,1636,4951,1146,479,1937,1536,963,621,747,4383,1394,1748,683,436,119820,15000,9348,815,675,833,723,911,547,1267,4612,4797,1226,1860,736,782,62,932,942,611,8593,60,2182,3900,395,681,884,556,796,625,3489,2459,551,681,2706,3383,28651,3973,6215,374,5612,13501,9330,2293,5151,3443,16860,5880
GB001191,1,Sample,5,155000,74702,64161,38337,31444,2217,61625,342638,16526,334,427,3103,404,1338,1160,821,5908,773,5444,17029,2840,3994,1374,857,8327,271,4846,8966,2697,317,1265,2771,643,3897,2133,4096,1871,561,41783,1014,13841,6386,12377,183,149,850,231,928,1705,1092,905,2709,10720,12120,3464,2183,2485,2138,177997,526255,948,4606,24810,246461,83829,10952,161278,7388,3031,2028,28400,77148,15950,52878,2255,4326,22557,611,561,1364,2790,5076,14360,6321,1233,3035,6316,4811,7465,3918,1747,505,1189,3027,5312,3091,12481,1683,3833,4329,32358,1450,1890,1292,2127,3203,4881,1862,1108,939,10251,8069,1960,7228,1139,365,643,508,827,1922,609,2510,9590,584,379,490,8659,5866,5108,489,707,2751,2117,17782,15520,7867,459,10231,772,4741,5041,113755,15017,2585,20993,5204,12854,4305,1594,30253,13130,643,11167,4679,18007,27251,27295,13505,920,18512,11010,4668,17787,9309,5737,966,1054,27113,10706,4202,2991,1883,4887,2656,1748,1170,33454,4932,225,14366,12275,107498,2876,32207,208,454,2110,1238,19663,12245,5632,762,669,1517,726,759,3608,2785,2610,550,1497,728,9594,2783,1879,2668,1257,3622,910,925,1500,1420,677,337,684,4816,1741,2111,1029,682,111976,14445,8766,556,416,739,235,830,339,1929,4517,6712,1281,1545,710,414,622,699,1141,683,6474,1275,1350,4588,504,828,853,470,1264,641,4133,1320,867,442,2802,1694,30407,4032,4883,481,6650,16304,11749,2011,3978,2640,5615,6938
GB001827,1,Sample,6,150957,72993,61638,35994,29552,2590,60047,344039,14426,312,533,2864,397,866,1033,703,6259,1026,4803,21367,3796,3225,1065,665,6285,96,5381,8708,1731,108,1265,2549,438,2504,911,2456,1301,330,28382,856,8161,7933,21957,126,134,1319,173,643,3573,941,584,1194,7046,9333,3204,2429,3373,1572,162139,562532,465,7532,25001,235959,116458,23891,64217,3167,2242,2325,20802,25065,8716,18407,1539,2244,5372,316,318,1485,4758,4742,15956,11019,3167,2267,6197,2048,5181,1599,1020,318,515,2210,3650,3514,10717,2666,2137,5593,19457,3003,972,818,2383,3097,7281,1325,1931,1361,3391,4057,1361,3892,930,189,675,585,853,2121,875,4878,3185,352,398,666,5668,2321,1555,347,669,1743,1160,15720,6789,2856,304,6811,527,3797,2676,84802,10371,502,10671,3505,10583,3260,561,25113,12814,402,7367,3370,14538,16262,16029,8794,584,17812,10534,4570,17398,4197,7383,942,1236,28903,10460,3315,3045,1714,6110,1668,917,1114,31511,4252,531,9682,11770,101454,3037,26122,172,451,2423,896,18303,12055,6991,438,617,1704,310,593,2984,2353,3377,726,1612,850,9958,3873,2810,3195,1629,5354,641,609,1493,1191,533,416,596,5110,1750,2315,839,585,111558,15018,9425,795,171,733,449,676,380,2068,4214,7500,1449,1129,720,948,510,668,882,542,5168,503,689,4906,458,604,1067,551,1394,569,5205,1246,1597,541,2880,2358,32045,2445,4016,305,8050,15812,11785,1351,2714,1696,2295,7524
GB001722,1,Sample,7,134195,69064,56286,31553,26021,2155,52195,290134,14697,505,423,3196,511,1151,919,584,3455,857,3532,9995,2732,4406,1002,789,9504,88,6814,19766,5071,505,1057,2523,821,3812,1749,3821,3328,335,23246,897,8274,6430,9944,106,212,844,100,482,1046,1294,1242,1680,11772,8576,1919,2054,2004,2358,143192,375880,838,5656,24424,177675,82984,13895,178071,8795,2914,2185,18884,92087,24911,60672,2183,3423,20733,774,517,480,1060,4107,11055,1707,584,1726,4634,5099,4401,3118,1759,787,250,1188,1822,1996,6341,1326,2319,3337,26030,2353,1426,1361,3548,3549,10451,1860,1225,1845,5688,9623,1791,8022,2554,801,651,870,787,2700,931,4067,6786,558,385,570,9453,4019,2845,472,860,2885,1847,14306,16359,9346,479,11853,1006,6224,5557,129030,16410,1113,21586,7499,11713,5807,328,18633,13696,528,8624,4996,10025,34558,36591,21723,1946,16976,10120,4062,16372,9903,5436,637,1197,26288,9772,4053,2450,1336,2853,2719,1800,936,30400,2506,150,3680,10082,98786,2938,24911,116,282,2093,898,16637,12925,8987,147,906,1500,879,1102,3782,2884,2881,744,1469,794,7803,2371,1688,3842,1820,3759,822,919,1592,1112,395,355,499,4845,1383,1939,560,367,101974,14163,8662,722,516,789,689,998,433,1124,3497,3911,1063,1603,654,388,405,583,931,561,7575,194,746,3915,498,824,757,408,877,468,2671,3167,360,375,2812,2439,26310,3276,5205,334,6054,13434,9595,1292,2525,1773,6096,5449
GB001468,1,Sample,8,184272,73469,70585,41571,32342,2376,67661,355021,18642,1071,898,12821,1048,3582,2769,1800,17855,2447,14549,42921,7307,11070,2912,1377,11742,73,5445,22070,8683,830,1487,6674,1362,6195,2615,5441,3828,526,51885,974,21143,10605,17736,249,242,2966,656,1082,3267,5185,3238,2313,23995,11500,2077,2342,2232,4511,252744,555361,904,6729,38932,322384,168305,10427,282599,12411,8231,3716,57582,173254,35842,72469,5792,9433,32240,958,676,1576,3085,7179,16068,4621,1240,3621,7773,7241,10196,4089,2133,830,1023,3302,5641,4277,13795,2542,4815,7245,62469,5252,1982,2070,4546,3669,4386,3032,1723,1285,20018,14291,2542,14765,2597,500,1263,1233,877,1752,1129,3707,8099,392,438,550,13018,5176,4034,522,1434,3422,1985,22829,25536,15839,776,19681,923,10767,8039,265170,23586,2092,32777,7674,18654,5765,841,44005,17937,609,16339,4979,21918,42544,43259,19666,2134,18756,12160,6011,17331,14690,10292,1602,2453,27281,10754,6185,8754,4344,11637,4507,2300,1354,35359,2701,107,2535,10465,101620,2885,27452,264,602,2110,1813,22280,14561,7671,315,1094,2022,1119,1036,6927,4549,5229,1144,2081,1095,9103,4586,2957,5215,2558,6141,1368,1070,1994,1646,947,602,848,6666,2043,2743,1584,835,125861,14285,10248,742,561,1234,829,1058,658,5229,4709,14236,3904,3211,942,659,536,894,1391,819,13356,300,1491,4123,414,1111,1263,570,3410,975,8862,1729,795,843,2412,3080,30696,6451,9271,519,5909,14548,9681,2913,8066,4821,7995,7650
GB001543,1,Sample,9,165878,74564,68164,39437,31447,2512,65862,358023,18069,471,466,4446,638,1476,1107,776,5324,1328,4458,16036,4146,4580,1256,827,7688,338,6352,11711,1809,492,1365,2396,430,2173,1124,2643,2255,617,58584,1166,17054,10095,13889,237,112,1428,247,1052,1795,1987,1599,1858,9437,10455,2474,1929,1726,1989,184821,396048,1325,4831,21931,175683,93559,7625,279481,8168,2896,2069,28060,134244,28506,83771,2438,4762,28245,919,438,1362,2123,5495,11199,3128,940,3192,4718,7641,7928,3432,2534,620,548,1975,3425,2111,8664,1356,4211,3423,40444,2842,2097,944,2197,1746,2952,1241,793,721,9473,8597,1286,7580,1774,333,724,839,593,1081,647,1787,9274,260,267,331,13342,6395,3531,774,695,2922,1937,18070,25062,12889,404,7612,915,5112,3973,129605,17883,1810,24325,8296,12987,6443,562,28904,16218,113,10621,5505,18733,32257,34451,22830,1334,22214,12502,5496,17031,14319,6471,587,1185,30405,11467,3539,3182,1233,4869,3110,1923,775,36240,5845,372,2831,11134,103406,3003,29034,277,339,1935,1640,22107,14220,8157,634,886,1999,809,741,4137,2880,3195,792,964,755,7953,2791,2445,3478,1583,4316,960,1002,1770,1519,663,484,777,4064,1331,1889,660,426,121808,15629,9394,737,531,703,701,854,561,1691,4741,5901,1358,1732,892,623,653,768,1369,722,8043,880,1953,4366,422,953,1175,531,1114,730,4199,1157,573,500,2412,2370,31230,4532,5545,428,6612,15366,10816,1661,3598,2606,8850,5525
GB001347,1,Sample,10,157758,73511,62333,38895,29771,2172,60077,345225,16051,396,519,4484,543,1261,1674,1352,10217,2249,8985,27685,6825,7839,1388,877,6036,89,4376,9552,1979,387,1332,2676,595,3598,1609,4028,2109,489,75920,1328,27051,15501,26758,366,475,2825,362,1131,4260,2914,1280,1146,9403,4955,2372,1825,2430,2833,180530,508330,655,7745,27853,265016,135916,23868,137960,5845,2966,3549,40152,73023,26353,34267,2558,4777,11735,682,546,810,2248,5105,14231,5138,1397,2239,6784,4380,7296,2544,1207,585,438,1598,3515,2940,12915,2834,3572,9265,46360,4188,1122,1071,2734,5304,5687,1767,1478,1971,8037,6123,1843,7873,1567,409,766,681,709,2087,797,3342,5227,302,334,890,7395,5323,2698,505,930,2006,1354,18266,13107,7903,256,9781,783,5950,3830,124001,16043,579,16521,5698,12780,5060,484,28875,15995,815,10595,6324,16652,27966,28409,17076,1080,18773,11103,4712,17252,7792,8204,1078,1148,31794,11167,4932,5472,3292,8393,2581,1484,1149,33170,8469,284,2049,12565,99792,2890,19085,307,688,2211,2336,20970,11854,8393,439,885,1758,605,819,3934,2891,3470,866,1390,672,9289,3912,3085,4516,2142,5628,820,840,1700,1372,585,431,658,6349,1845,2506,1120,810,113799,14943,9621,752,556,982,603,867,359,3175,4369,10075,1633,2610,775,974,296,972,1204,765,7227,482,978,4855,396,1020,1022,481,2076,708,6761,1588,1011,577,2266,2624,32460,5534,5216,545,7277,16211,11437,2453,5189,3192,4452,7119
GB001762,1,Sample,11,165530,78880,64535,41253,31862,2526,67410,343435,15932,693,852,5112,550,2013,2306,1706,10934,1904,9447,31470,6703,7352,2232,1078,11129,213,8114,16674,4460,582,1448,3380,908,3945,1524,4353,2870,875,76391,2699,20982,15119,22040,298,299,3280,509,1691,3696,3065,2280,3319,14261,30314,6231,3836,3745,2593,303037,670543,2492,7042,34524,291640,178231,19213,331733,19378,3118,3805,61479,134295,30061,87332,3798,7249,27784,1173,521,2734,5660,8353,19434,10308,2038,7114,7229,8723,19010,9351,2361,753,1129,3188,4674,3487,12243,2034,6005,8019,57408,1746,1935,1178,2665,2177,4311,1875,676,813,8496,9008,1995,7914,1899,524,855,760,788,1344,662,2136,7023,361,400,621,7955,4649,3282,794,604,2202,1613,27417,29132,12958,543,13772,1163,6775,4835,130631,21872,1570,26989,8756,19712,6687,1296,33389,17948,864,12129,5381,17948,31121,30673,18545,1563,19740,12147,5473,16720,16293,11045,1368,1234,29651,11318,5868,5848,3191,8666,3393,1998,1248,35324,4863,171,1594,14838,113327,2877,39050,320,680,2266,1911,21525,13402,7517,308,934,1950,1416,1006,4082,3058,3230,801,1910,988,8694,5243,3441,5037,2191,6968,1075,973,2278,1784,1339,762,784,6282,2097,2682,1273,838,119781,14833,9890,756,490,1204,551,937,350,3139,4465,10117,1490,2628,765,1008,499,755,1093,717,7744,128,1519,4112,359,760,1033,573,2564,833,7693,1372,1665,635,3267,3061,29350,5982,5875,387,6236,14586,9961,3223,7441,4722,8879,8425
